name,price,stars,link
lucky-charms-family-size,"€8,99",4.87,/collections/snack-americani/products/lucky-charms-family-size
candy-box,"€14,90",4.88,/collections/snack-americani/products/candy-box
americanbox-del-mese-la-box-votata-dalla-community-32-34-prodotti,"€59,90",4.80,/collections/snack-americani/products/americanbox-del-mese-la-box-votata-dalla-community-32-34-prodotti
americanbox-m-box-da-minimo-20-prodotti,"€29,90",4.80,/collections/snack-americani/products/americanbox-m-box-da-minimo-20-prodotti
americanbox-xl-box-da-47-50-prodotti,"€75,00",4.80,/collections/snack-americani/products/americanbox-xl-box-da-47-50-prodotti
love-bites-box-scatola-di-cioccolatini-e-caramelle,"€29,90",5.00,/collections/snack-americani/products/love-bites-box-scatola-di-cioccolatini-e-caramelle
americanbox-xxl-la-scorta-mensile-da-100-prodotti,"€149,90",4.80,/collections/snack-americani/products/americanbox-xxl-la-scorta-mensile-da-100-prodotti
americanbox-dolce-da-minimo-20-prodotti,"€29,90",4.80,/collections/snack-americani/products/americanbox-dolce-da-minimo-20-prodotti
pringles-scorchin-cheddar-patatine-piccanti-al-formaggio-da-158g,"€4,49",4.33,/collections/snack-americani/products/pringles-scorchin-cheddar-patatine-piccanti-al-formaggio-da-158g
patriots-onion-rings-patatine-alla-cipolla-da-40g,"€1,29",4.70,/collections/snack-americani/products/patriots-onion-rings-patatine-alla-cipolla-da-40g
jack-links-beef-jerky-original,"€3,49",4.51,/collections/snack-americani/products/jack-links-beef-jerky-original
3-jack-links-vari-gusti,"
        €9,49
      ",4.62,/collections/snack-americani/products/3-jack-links-vari-gusti
jelly-belly-bean-harry-potter,"€3,89",4.56,/collections/snack-americani/products/jelly-belly-bean-harry-potter
kellogs-froot-loops-286g,"€8,99",5.00,/collections/snack-americani/products/kellogs-froot-loops-286g
tex-mex-kit,"€24,90",5.00,/collections/snack-americani/products/tex-mex-kit
fluff-vanilla,"€3,49",4.88,/collections/snack-americani/products/fluff-vanilla
dr-pepper-uk-bevanda-alla-frutta-da-330ml,"€1,59",4.50,/collections/snack-americani/products/dr-pepper-uk-bevanda-alla-frutta-da-330ml
monster-ultra-blue,"€3,49",4.83,/collections/snack-americani/products/monster-ultra-blue
combos-pepperoni-pizza-cracker,"€1,79",4.69,/collections/snack-americani/products/combos-pepperoni-pizza-cracker
patriots-nachos-bbq-nachos-al-bbq-da-50g,"€1,29",4.75,/collections/snack-americani/products/patriots-nachos-bbq-nachos-al-bbq-da-50g
old-el-paso-taco-shells-12-tacos-croccanti-da-156g,"€4,99",0.00,/collections/snack-americani/products/old-el-paso-taco-shells-12-tacos-croccanti-da-156g
acqua-fiji,"€2,49",5.00,/collections/snack-americani/products/acqua-fiji
combos-cheddar-cheese-pretzel,"€1,79",4.78,/collections/snack-americani/products/combos-cheddar-cheese-pretzel
goldfish-color-craker-colorati-al-formaggio-da-187g,"€3,99",4.67,/collections/snack-americani/products/goldfish-color-craker-colorati-al-formaggio-da-187g
warheads-super-sour-spray-candy-caramella-spray-alla-futta-da-20ml,"€2,99",4.83,/collections/snack-americani/products/warheads-super-sour-spray-candy-caramella-spray-alla-futta-da-20ml
goldfish-cracker-extra-cheddar-confezione-di-cracker-al-cheddar-da-187g,"€3,99",5.00,/collections/snack-americani/products/goldfish-cracker-extra-cheddar-confezione-di-cracker-al-cheddar-da-187g
hersheys-strawberriesn-creme-barretta-al-cioccolato-bianco-e-fragola-da-39g,"€1,79",5.00,/collections/snack-americani/products/hersheys-strawberriesn-creme-barretta-al-cioccolato-bianco-e-fragola-da-39g
brachs-haverst-corn-candy-corn-da-312g,"€4,99",0.00,/collections/snack-americani/products/brachs-haverst-corn-candy-corn-da-312g
hostess-zingers-vanilla-cakes-confezione-da-10,"€8,99",4.22,/collections/snack-americani/products/hostess-zingers-vanilla-cakes-confezione-da-10
wonka-nerds-watermelon-amp-wild-cherry,"€1,69",5.00,/collections/snack-americani/products/wonka-nerds-watermelon-amp-wild-cherry
pam-original-cooking-spray,"€7,99",5.00,/collections/snack-americani/products/pam-original-cooking-spray
3x-patriots-onion-rings,"€3,87",5.00,/collections/snack-americani/products/3x-patriots-onion-rings
reeses-big-cup,"€1,99",5.00,/collections/snack-americani/products/reeses-big-cup
pop-tarts-frosted-cinnamon-roll,"€6,49",4.67,/collections/snack-americani/products/pop-tarts-frosted-cinnamon-roll
ocean-bomb-vegito-apple-bevanda-alla-mela-330ml,"€3,99",0.00,/collections/snack-americani/products/ocean-bomb-vegito-apple-bevanda-alla-mela-330ml
bacchetta-harry-potter-jelly-belly,"€12,99",4.00,/collections/snack-americani/products/bacchetta-harry-potter-jelly-belly
hersheys-whoppers,"€1,99",4.00,/collections/snack-americani/products/hersheys-whoppers
herrs-carolina-reaper-flavoured-cheese-curls,"€1,29",4.00,/collections/snack-americani/products/herrs-carolina-reaper-flavoured-cheese-curls
patriots-nachos-chili-paprika-nachos-alla-paprika-da-60g,"€1,29",5.00,/collections/snack-americani/products/patriots-nachos-chili-paprika-nachos-alla-paprika-da-60g
reeses-peanut-butter-cup-trio-cioccolatini-al-burro-darachidi-da-63g,"€2,49",5.00,/collections/snack-americani/products/reeses-peanut-butter-cup-trio-cioccolatini-al-burro-darachidi-da-63g
golden-grahams,"€8,99",5.00,/collections/snack-americani/products/golden-grahams
reeses-organic-peanut-butter-cups-dark-tazze-di-cioccolato-fondente-ripiene-di-burro-darachidi-da-39g,"€3,49",5.00,/collections/snack-americani/products/reeses-organic-peanut-butter-cups-dark-tazze-di-cioccolato-fondente-ripiene-di-burro-darachidi-da-39g
patriots-coated-peanut-chili-arachidi-al-peperoncino-da-30g,"€0,99",0.00,/collections/snack-americani/products/patriots-coated-peanut-chili-arachidi-al-peperoncino-da-30g
post-honeycomb-cereali-al-miele-da-354g,"€8,99",0.00,/collections/snack-americani/products/post-honeycomb-cereali-al-miele-da-354g
6x-patriots-nachos-chili-paprika-nachos-alla-paprika-da-60g,"€7,74",0.00,/collections/snack-americani/products/6x-patriots-nachos-chili-paprika-nachos-alla-paprika-da-60g
reeses-ultimate-peanut-butter-lovers-tazze-al-burro-darachidi-da-79g,"€3,99",0.00,/collections/snack-americani/products/reeses-ultimate-peanut-butter-lovers-tazze-al-burro-darachidi-da-79g
bang-rainbow-unicorn-energy-drink-alla-frutta-da-500ml,"€3,49",0.00,/collections/snack-americani/products/bang-rainbow-unicorn-energy-drink-alla-frutta-da-500ml
goldfish-crackers-original-confezione-di-crackers-al-formaggio-da-187g,"€3,99",4.33,/collections/snack-americani/products/goldfish-crackers-original-confezione-di-crackers-al-formaggio-da-187g
mrs-freshleys-raspberry-dreamies-merendine-al-lampone-da-113g,"€1,99",4.50,/collections/snack-americani/products/mrs-freshleys-raspberry-dreamies-merendine-al-lampone-da-113g
coffee-mate-coffee-creamer-vanilla-caramel-miscela-in-polvere-alla-vaniglia-e-al-caramello-da-425-2g,"€9,49",5.00,/collections/snack-americani/products/coffee-mate-coffee-creamer-vanilla-caramel-miscela-in-polvere-alla-vaniglia-e-al-caramello-da-425-2g
herrs-honey-cheese-curl-patatine-al-miele-e-formaggio-da-184g,"€5,99",0.00,/collections/snack-americani/products/herrs-honey-cheese-curl-patatine-al-miele-e-formaggio-da-184g
6x-patriots-onion-rings,"€7,74",0.00,/collections/snack-americani/products/6x-patriots-onion-rings
charms-fluffy-stuff-candy-floss-1,"€1,99",4.90,/collections/snack-americani/products/charms-fluffy-stuff-candy-floss-1
hersheys-cookiesn-mint-cioccolato-bianco-alla-menta-da-39g,"€1,79",5.00,/collections/snack-americani/products/hersheys-cookiesn-mint-cioccolato-bianco-alla-menta-da-39g
dr-pepper-cherry-vanilla,"€1,49",5.00,/collections/snack-americani/products/dr-pepper-cherry-vanilla
harry-potter-stemmi-hogwarts-barretta-di-cioccolato-da-8g,"€2,49",0.00,/collections/snack-americani/products/harry-potter-stemmi-hogwarts-barretta-di-cioccolato-da-8g
bean-boozled-flaming-five-caramelle-al-peperoncino-da-45g,"
        €1,99
      ",5.00,/collections/snack-americani/products/bean-boozled-flaming-five-caramelle-al-peperoncino-da-45g
goldfish-cheddar-cracker-cracker-al-formaggio-da-187g,"€3,99",5.00,/collections/snack-americani/products/goldfish-cheddar-cracker-cracker-al-formaggio-da-187g
pepsi-mango-bevanda-al-mango-da-355ml,"€1,79",5.00,/collections/snack-americani/products/pepsi-mango-bevanda-al-mango-da-355ml
pop-tarts-frosted-cherry-biscotti-ripieni-di-crema-alla-ciliegia-da-416g,"€6,49",0.00,/collections/snack-americani/products/pop-tarts-frosted-cherry-biscotti-ripieni-di-crema-alla-ciliegia-da-416g
chunky-salsa-dip-hot-old-el-paso-salsa-piccante-con-cipolle-e-peperoni-da-320g,"€3,49",0.00,/collections/snack-americani/products/chunky-salsa-dip-hot-old-el-paso-salsa-piccante-con-cipolle-e-peperoni-da-320g
6x-patriots-coated-peanut-chili-arachidi-al-peperoncino-da-30g,"€5,94",0.00,/collections/snack-americani/products/6x-patriots-coated-peanut-chili-arachidi-al-peperoncino-da-30g
sangaria-melon-soda-soda-al-melone-da-500ml,"€3,49",5.00,/collections/snack-americani/products/sangaria-melon-soda-soda-al-melone-da-500ml
holidays-box-confezione-regalo-natalizia-30x25x20,"€3,90",0.00,/collections/snack-americani/products/holidays-box-confezione-regalo-natalizia-30x25x20
arizona-strawberry-lemonade-bevanda-alla-fragola-e-limonata-da-500ml,"€2,49",4.50,/collections/snack-americani/products/arizona-strawberry-lemonade-bevanda-alla-fragola-e-limonata-da-500ml
jumex-guava-bevanda-al-gusto-di-guava-da-335ml,"€1,69",0.00,/collections/snack-americani/products/jumex-guava-bevanda-al-gusto-di-guava-da-335ml
bacchetta-albus-silente-jelly-belly,"€12,99",0.00,/collections/snack-americani/products/bacchetta-albus-silente-jelly-belly
wonka-sweetart,"€1,59",5.00,/collections/snack-americani/products/wonka-sweetart
herrs-baked-cheese-curl-big-pack,"€4,49",0.00,/collections/snack-americani/products/herrs-baked-cheese-curl-big-pack
betty-crocker-country-carrot-cake-mix,"€4,89",0.00,/collections/snack-americani/products/betty-crocker-country-carrot-cake-mix
tootsie-roll-big-bars,"€1,99",0.00,/collections/snack-americani/products/tootsie-roll-big-bars
charms-sweetn-sour-pops-caramelle-alla-frutta-da-18g,"€0,49",0.00,/collections/snack-americani/products/charms-sweetn-sour-pops-caramelle-alla-frutta-da-18g
bang-frose-rose-energy-drink-al-gusto-di-vino-rose-da-500ml,"€3,49",0.00,/collections/snack-americani/products/bang-frose-rose-energy-drink-al-gusto-di-vino-rose-da-500ml
starburst-fave-reds-caramelle-gommose-alla-frutta-da-58-7g,"€1,99",0.00,/collections/snack-americani/products/starburst-fave-reds-caramelle-gommose-alla-frutta-da-58-7g
cadbury-wispa-gold-barretta-al-cioccolato-ripiena-di-caramello-da-48g,"€1,99",0.00,/collections/snack-americani/products/cadbury-wispa-gold-barretta-al-cioccolato-ripiena-di-caramello-da-48g
sangaria-ramune-soda-bevanda-alla-frutta-da-500ml,"€3,49",0.00,/collections/snack-americani/products/sangaria-ramune-soda-bevanda-alla-frutta-da-500ml
mcvities-digestives-gingerbread-biscotto-al-pan-di-zenzero-rivestito-da-cioccolato-al-latte-da-243g,"€3,99",0.00,/collections/snack-americani/products/mcvities-digestives-gingerbread-biscotto-al-pan-di-zenzero-rivestito-da-cioccolato-al-latte-da-243g
monster-ultra-zero-rosa-energy-drink-fruttato-da-473ml,"€4,99",0.00,/collections/snack-americani/products/monster-ultra-zero-rosa-energy-drink-fruttato-da-473ml
cinnamon-bun-bites,"€2,49",5.00,/collections/snack-americani/products/cinnamon-bun-bites
arizona-tea-blueberry-te-ai-mirtilli-da-500-ml,"€2,49",0.00,/collections/snack-americani/products/arizona-tea-blueberry-te-ai-mirtilli-da-500-ml
betty-crocker-gluten-free-fudge-brownie-preparato-per-brownie-senza-glutine-da-415g,"€6,99",0.00,/collections/snack-americani/products/betty-crocker-gluten-free-fudge-brownie-preparato-per-brownie-senza-glutine-da-415g
cadbury-starbar,"€1,79",0.00,/collections/snack-americani/products/cadbury-starbar
betty-crocker-cream-cheese-style-icing,"€4,49",5.00,/collections/snack-americani/products/betty-crocker-cream-cheese-style-icing
kit-kat-big-little-whole-wheat-wafer-ripieno-di-crema-e-biscotto-integrale-da-45g,"€5,79",0.00,/collections/snack-americani/products/kit-kat-big-little-whole-wheat-wafer-ripieno-di-crema-e-biscotto-integrale-da-45g
heinz-spaghetti-spaghetti-da-400g,"€2,49",0.00,/collections/snack-americani/products/heinz-spaghetti-spaghetti-da-400g
shaken-bake-seasoning-parmesan-crusted,"€4,99",0.00,/collections/snack-americani/products/shaken-bake-seasoning-parmesan-crusted
chupa-chups-drink-arancia-bevanda-allarancia-da-345ml,"€2,49",4.00,/collections/snack-americani/products/chupa-chups-drink-arancia-bevanda-allarancia-da-345ml
betty-crocker-classic-coffee-cake-mix,"€4,89",5.00,/collections/snack-americani/products/betty-crocker-classic-coffee-cake-mix
arizona-iced-tea-peach-te-nero-alla-pesca-da-500ml,"€2,49",0.00,/collections/snack-americani/products/arizona-iced-tea-peach-te-nero-alla-pesca-da-500ml
kool-aid-tropical-punch,"€0,99",0.00,/collections/snack-americani/products/kool-aid-tropical-punch
bang-candy-apple-crisp-energy-drink-alla-mela-da-500ml,"€3,49",0.00,/collections/snack-americani/products/bang-candy-apple-crisp-energy-drink-alla-mela-da-500ml
old-el-paso-refried-beans-purea-di-fagioli-messicani-da-435g,"€2,49",0.00,/collections/snack-americani/products/old-el-paso-refried-beans-purea-di-fagioli-messicani-da-435g
big-league-gum-sour-apple,"€2,49",5.00,/collections/snack-americani/products/big-league-gum-sour-apple
cadbury-wispa-barretta-di-cioccolato-da-36g,"€1,79",0.00,/collections/snack-americani/products/cadbury-wispa-barretta-di-cioccolato-da-36g
capri-sun-orange-succo-di-frutta-allarancia-da-200-ml,"€1,49",0.00,/collections/snack-americani/products/capri-sun-orange-succo-di-frutta-allarancia-da-200-ml
cookie-dough-bites-cookiesncream,"€2,49",4.00,/collections/snack-americani/products/cookie-dough-bites-cookiesncream
big-league-chew-bubble-gum-grape,"€2,49",4.75,/collections/snack-americani/products/big-league-chew-bubble-gum-grape
flipz-strawberry-cheescake-coated-pretzel-pretzel-alla-fragola-da-90g,"€5,29",0.00,/collections/snack-americani/products/flipz-strawberry-cheescake-coated-pretzel-pretzel-alla-fragola-da-90g
heinz-hoop-no-added-sugar-spaghetti-al-pomodoro-senza-zuccheri-aggiunti-da-400g,"€2,99",0.00,/collections/snack-americani/products/heinz-hoop-no-added-sugar-spaghetti-al-pomodoro-senza-zuccheri-aggiunti-da-400g
pocky-tasty-butter-biscotti-ricoperti-di-crema-al-burro-darachidi-da-39g,"€4,99",0.00,/collections/snack-americani/products/pocky-tasty-butter-biscotti-ricoperti-di-crema-al-burro-darachidi-da-39g
old-jamaica-ginger-beer-bevanda-al-ginger-da-330ml,"€1,49",4.50,/collections/snack-americani/products/old-jamaica-ginger-beer-bevanda-al-ginger-da-330ml
herrs-deep-dish-pizza-big-pack,"€4,49",0.00,/collections/snack-americani/products/herrs-deep-dish-pizza-big-pack
dragonball-super-vegeta-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-vegeta-iced-tea-alla-pesca-da-500ml
isadora-frijoles-refritos-negros-purea-di-fagioli-neri-da-430g,"€3,99",0.00,/collections/snack-americani/products/isadora-frijoles-refritos-negros-purea-di-fagioli-neri-da-430g
van-holtens-dill-pickle,"€2,99",0.00,/collections/snack-americani/products/van-holtens-dill-pickle
hersheys-cookiesncreme-dipped-pretzel-pretzel-rivestiti-di-cioccolato-bianco-da-120g,"€4,99",5.00,/collections/snack-americani/products/hersheys-cookiesncreme-dipped-pretzel-pretzel-rivestiti-di-cioccolato-bianco-da-120g
bever-jarrito-mandarin-bevanda-al-mandarino-da-370ml,"€3,29",0.00,/collections/snack-americani/products/bever-jarrito-mandarin-bevanda-al-mandarino-da-370ml
ocean-spray-cranberry-raspberry,"€3,49",0.00,/collections/snack-americani/products/ocean-spray-cranberry-raspberry
francks-red-hot-original-wing-souce-cayenne-salsa-piccante-da-946ml,"€17,99",0.00,/collections/snack-americani/products/francks-red-hot-original-wing-souce-cayenne-salsa-piccante-da-946ml
jumex-papaya-pineapple-355-bevanda-al-gusto-di-papaya-e-ananas-da-355ml,"€1,69",0.00,/collections/snack-americani/products/jumex-papaya-pineapple-355-bevanda-al-gusto-di-papaya-e-ananas-da-355ml
dragonball-z-vegeta-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-vegeta-iced-tea-alla-pesca-da-500ml
coca-cola-zero-33cl,"€0,79",0.00,/collections/snack-americani/products/coca-cola-zero-33cl
dragonball-super-zamasu-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-zamasu-iced-tea-alla-pesca-da-500ml
dragonball-super-jiren-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-jiren-iced-tea-alla-pesca-da-500ml
dragonball-z-frieza-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-frieza-iced-tea-alla-pesca-da-500ml
7-up-cocktail-exotic-bevanda-ai-frutti-esotici-da-33ml,"€1,49",4.50,/collections/snack-americani/products/7-up-cocktail-exotic-bevanda-ai-frutti-esotici-da-33ml
kool-aid-jamaica-preparato-per-bevande-allhibiscus-da-3-9g,"€0,99",0.00,/collections/snack-americani/products/kool-aid-jamaica-preparato-per-bevande-allhibiscus-da-3-9g
dragonball-z-trunks-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-trunks-iced-tea-alla-pesca-da-500ml
brachs-peppermint-christmas-nougats-caramelle-alla-menta-peperita-da-312g,"€6,49",0.00,/collections/snack-americani/products/brachs-peppermint-christmas-nougats-caramelle-alla-menta-peperita-da-312g
mr-freshleys-jumbo-honey-buns,"€1,99",0.00,/collections/snack-americani/products/mr-freshleys-jumbo-honey-buns
kool-aid-green-apple-preparato-per-bevande-alla-ciliegia-da-3-9g,"€0,99",0.00,/collections/snack-americani/products/kool-aid-green-apple-preparato-per-bevande-alla-ciliegia-da-3-9g
one-piece-chopper-iced-tea-al-gusto-di-frutti-rossi-da-500ml,"€4,29",0.00,/collections/snack-americani/products/one-piece-chopper-iced-tea-al-gusto-di-frutti-rossi-da-500ml
dragonball-super-gohan-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-gohan-iced-tea-alla-pesca-da-500ml
kool-aid-berry-cherry,"€0,99",0.00,/collections/snack-americani/products/kool-aid-berry-cherry
hostess-cupcakes-orange-cupcake-allarancia-da-96g,"€4,49",0.00,/collections/snack-americani/products/hostess-cupcakes-orange-cupcake-allarancia-da-96g
lemonahead-pink-lemonade-caramelle-alla-limonata-rosa-da-23g,"€0,99",0.00,/collections/snack-americani/products/lemonahead-pink-lemonade-caramelle-alla-limonata-rosa-da-23g
hersheys-skor-barretta-cioccolato-ripieno-di-mandorle-caramellate-da-39g,"€1,99",0.00,/collections/snack-americani/products/hersheys-skor-barretta-cioccolato-ripieno-di-mandorle-caramellate-da-39g
monster-monarc-energy-drink-alla-frutta-da-500ml,"€2,49",0.00,/collections/snack-americani/products/monster-monarc-energy-drink-alla-frutta-da-500ml
starburst-tropical,"€1,99",5.00,/collections/snack-americani/products/starburst-tropical
hostess-snoballs,"€7,99",0.00,/collections/snack-americani/products/hostess-snoballs
hostess-cupcakes-chocolate-cupcake-al-cioccolato-da-96g,"€4,49",0.00,/collections/snack-americani/products/hostess-cupcakes-chocolate-cupcake-al-cioccolato-da-96g
nesquik-chocolate-caramel-swirl-preparato-in-polvere-al-cioccolato-e-caramello-da-525g,"€10,99",0.00,/collections/snack-americani/products/nesquik-chocolate-caramel-swirl-preparato-in-polvere-al-cioccolato-e-caramello-da-525g
sweetarts-rope-tangy-strawberry-caramelle-gommose-alla-fragola-da-99g,"€1,79",0.00,/collections/snack-americani/products/sweetarts-rope-tangy-strawberry-caramelle-gommose-alla-fragola-da-99g
wrigley-spearmint-extra-refreshers-gomme-alla-menta-da-15g,"€1,49",0.00,/collections/snack-americani/products/wrigley-spearmint-extra-refreshers-gomme-alla-menta-da-15g
dunkin-hazelnut-coffee-caffe-americano-alla-nocciola-da-340g,"€16,49",0.00,/collections/snack-americani/products/dunkin-hazelnut-coffee-caffe-americano-alla-nocciola-da-340g
wrigley-bubblemint-extra-refreshers-gomme-fresche-alla-frutta-da-15g,"€1,49",0.00,/collections/snack-americani/products/wrigley-bubblemint-extra-refreshers-gomme-fresche-alla-frutta-da-15g
nesquik-syrup-strawberry-sciroppo-alla-fragola-da-623-6g,"€5,99",0.00,/collections/snack-americani/products/nesquik-syrup-strawberry-sciroppo-alla-fragola-da-623-6g
dunkin-original-blend-medium-roast-caffe-americano-da-340g,"€16,49",0.00,/collections/snack-americani/products/dunkin-original-blend-medium-roast-caffe-americano-da-340g
sour-razzle-caramelle-aspre-alla-frutta-da-40g,"€1,99",5.00,/collections/snack-americani/products/sour-razzle-caramelle-aspre-alla-frutta-da-40g
charleston-chew-strawberry-torrone-morbido-alla-fragola-ricoperto-di-cioccolato-da-53g,"€1,79",0.00,/collections/snack-americani/products/charleston-chew-strawberry-torrone-morbido-alla-fragola-ricoperto-di-cioccolato-da-53g
bever-jarritos-grapefruit-bevanda-al-pompelmo-da-370ml,"€2,19",0.00,/collections/snack-americani/products/bever-jarritos-grapefruit-bevanda-al-pompelmo-da-370ml
hersheys-syrup,"€6,99",4.33,/collections/snack-americani/products/hersheys-syrup
dentyne-ice-arctic-chill-gomme-alla-menta-da-48g,"€2,49",0.00,/collections/snack-americani/products/dentyne-ice-arctic-chill-gomme-alla-menta-da-48g
jelly-belly-bubbly-sparkling-wine-flavour-caramelle-al-gusto-di-spumante-da-42g,"€4,49",0.00,/collections/snack-americani/products/jelly-belly-bubbly-sparkling-wine-flavour-caramelle-al-gusto-di-spumante-da-42g
hersheys-strawberry-syrup,"€6,99",0.00,/collections/snack-americani/products/hersheys-strawberry-syrup
heinz-sweet-relish,"€5,99",0.00,/collections/snack-americani/products/heinz-sweet-relish
lotus-biscoff-topping-topping-per-dolci-al-biscotto-lotus-da-1kg,"€19,99",0.00,/collections/snack-americani/products/lotus-biscoff-topping-topping-per-dolci-al-biscotto-lotus-da-1kg
